countInDegree Node Time
countInDegree 4293 628
countInDegree 8811 648
countInDegree 18801 675
countInDegree 27261 748
countInDegree 17544 609
countInDegree 16716 657
countInDegree 21012 702
countInDegree 7143 770
countInDegree 16284 594
countInDegree 26121 591
countInDegree 20205 602
countInDegree 7065 586
countInDegree 26742 624
countInDegree 22881 582
countInDegree 21099 590
countInDegree 14895 584
countInDegree 24036 583
countInDegree 26406 592
countInDegree 23682 586
countInDegree 7827 598
countInDegree 12735 586
countInDegree 6939 590
countInDegree 21786 594
countInDegree 3333 590
countInDegree 26334 597
countInDegree 25005 590
countInDegree 2064 602
countInDegree 22035 592
countInDegree 4512 594
countInDegree 9054 587
countInDegree 28440 585
countInDegree 291 597
countInDegree 23148 661
countInDegree 28428 634
countInDegree 17460 597
countInDegree 16443 603
countInDegree 12342 652
countInDegree 26898 653
countInDegree 25107 598
countInDegree 9117 602
countInDegree 10410 670
countInDegree 14328 622
countInDegree 20469 610
countInDegree 1605 609
countInDegree 28308 592
countInDegree 2307 611
countInDegree 3000 594
countInDegree 23673 593
countInDegree 13260 589
countInDegree 6777 603
countInDegree 3291 606
countInDegree 5352 612
countInDegree 28113 605
countInDegree 1590 606
countInDegree 12180 593
countInDegree 7641 595
countInDegree 17175 602
countInDegree 16362 591
countInDegree 10062 604
countInDegree 5505 605
countInDegree 3792 609
countInDegree 18051 592
countInDegree 26283 602
countInDegree 27339 607
countInDegree 23829 621
countInDegree 17568 640
countInDegree 4389 598
countInDegree 25512 596
countInDegree 14397 653
countInDegree 22704 625
countInDegree 25314 606
countInDegree 6378 622
countInDegree 6201 649
countInDegree 9720 637
countInDegree 27303 605
countInDegree 23880 625
countInDegree 204 625
countInDegree 26253 612
countInDegree 19485 666
countInDegree 14460 705
countInDegree 15357 740
countInDegree 26049 742
countInDegree 10908 664
countInDegree 4314 621
countInDegree 17979 599
countInDegree 17178 611
countInDegree 14046 652
countInDegree 10761 617
countInDegree 24489 620
countInDegree 8838 634
countInDegree 26706 622
countInDegree 12366 623
countInDegree 29883 612
countInDegree 9057 590
countInDegree 25614 594
countInDegree 26412 585
countInDegree 21405 599
countInDegree 7653 620
countInDegree 18618 657
countInDegree 19329 611
countInDegree 2994 635
countInDegree 26727 611
countInDegree 29217 776
countInDegree 18669 945
countInDegree 10518 752
countInDegree 27906 662
countInDegree 831 647
countInDegree 25392 603
countInDegree 26673 700
countInDegree 15753 615
countInDegree 6573 612
countInDegree 6993 667
countInDegree 15759 643
countInDegree 23217 702
countInDegree 20895 672
