countInDegree Node Time 
countInDegree 5259 0
countInDegree 26850 0
countInDegree 21321 1
countInDegree 29355 0
countInDegree 18915 1
countInDegree 10542 1
countInDegree 7653 0
countInDegree 22923 0
countInDegree 4062 1
countInDegree 8403 1
countInDegree 855 0
countInDegree 20793 0
countInDegree 12699 1
countInDegree 12150 0
countInDegree 8628 0
countInDegree 23460 1
countInDegree 5709 1
countInDegree 16128 0
countInDegree 417 0
countInDegree 7848 1
countInDegree 26433 0
countInDegree 29823 0
countInDegree 25548 0
countInDegree 24384 0
countInDegree 16443 1
countInDegree 21204 0
countInDegree 12684 1
countInDegree 19542 0
countInDegree 20760 0
countInDegree 19224 0
countInDegree 11616 0
countInDegree 10578 1
countInDegree 3819 1
countInDegree 15753 0
countInDegree 11715 0
countInDegree 9576 2
countInDegree 24204 1
countInDegree 21957 1
countInDegree 9744 0
countInDegree 12450 0
countInDegree 1887 1
countInDegree 7209 1
countInDegree 6516 0
countInDegree 15525 0
countInDegree 10905 1
countInDegree 14529 1
countInDegree 21384 1
countInDegree 2034 1
countInDegree 28035 1
countInDegree 29901 0
countInDegree 17622 1
countInDegree 26625 0
countInDegree 24954 0
countInDegree 27519 0
countInDegree 13386 1
countInDegree 25884 1
countInDegree 4629 11
countInDegree 2079 3
countInDegree 6819 1
countInDegree 27855 1
countInDegree 16548 0
countInDegree 7398 14
countInDegree 24075 1
countInDegree 14763 1
countInDegree 14493 1
countInDegree 11760 1
countInDegree 9438 1
countInDegree 24153 4
countInDegree 11064 3
countInDegree 12738 2
countInDegree 19929 1
countInDegree 1314 1
countInDegree 28194 1
countInDegree 3174 1
countInDegree 10365 2
countInDegree 23895 6
countInDegree 20787 4
countInDegree 25785 1
countInDegree 7464 3
countInDegree 4677 3
countInDegree 25473 4
countInDegree 25941 1
countInDegree 6450 1
countInDegree 15177 0
countInDegree 2559 0
countInDegree 18195 0
countInDegree 23436 1
countInDegree 5340 3
countInDegree 25575 4
countInDegree 5586 1
countInDegree 21561 0
countInDegree 6438 1
countInDegree 29052 1
countInDegree 591 1
countInDegree 15768 1
countInDegree 22599 3
countInDegree 12330 2
countInDegree 4563 3
countInDegree 26067 1
countInDegree 2154 1
countInDegree 15129 2
countInDegree 10836 1
countInDegree 29922 2
countInDegree 18321 3
countInDegree 6 2
countInDegree 16563 1
countInDegree 24270 1
countInDegree 3285 0
countInDegree 11727 1
countInDegree 20970 1
countInDegree 5760 1
countInDegree 8076 2
countInDegree 19920 2
countInDegree 948 2
countInDegree 11166 1
countInDegree 18930 0
