delete Node Time 
delete 2586 129
delete 3720 116
delete 16026 116
delete 20949 115
delete 11949 127
delete 11355 115
delete 25851 155
delete 11643 127
delete 17196 117
delete 17499 243
delete 10437 387
delete 4983 271
delete 4020 166
delete 28161 161
delete 29097 354
delete 1050 323
delete 28530 252
delete 4425 181
delete 11646 94
delete 29868 116
delete 25353 405
delete 4242 149
delete 6978 117
delete 6237 115
delete 22734 93
delete 12276 116
delete 20772 156
delete 5097 116
delete 5475 115
delete 23520 178
delete 16455 137
delete 5637 126
delete 29118 116
delete 26829 126
delete 18606 116
delete 9021 117
delete 29577 116
delete 3693 166
delete 2901 116
delete 2634 115
delete 11220 172
delete 27876 115
delete 13179 128
delete 13482 115
delete 28494 117
delete 2448 154
delete 588 182
delete 8613 116
delete 28842 116
delete 20376 116
delete 20133 116
delete 27489 200
delete 22068 154
delete 29148 117
delete 11658 126
delete 23064 117
delete 6756 116
delete 5376 116
delete 22725 115
delete 4800 117
delete 10674 149
delete 921 167
delete 12771 116
delete 21249 116
delete 927 105
delete 19815 115
delete 5922 239
delete 29526 116
delete 5835 154
delete 14763 106
delete 25362 117
delete 8181 115
delete 5520 115
delete 8115 116
delete 29343 266
delete 3705 258
delete 22962 188
delete 26844 117
delete 29313 132
delete 14856 104
delete 12930 288
delete 28041 199
delete 19830 119
delete 12216 125
delete 4263 117
delete 11448 126
delete 8922 129
delete 7584 216
delete 12033 120
delete 18441 195
delete 29541 114
delete 17295 118
delete 13737 114
delete 25350 130
delete 21459 124
delete 12363 322
delete 15366 188
delete 28548 140
delete 6279 127
delete 19908 118
delete 17667 113
delete 25686 173
delete 2352 382
delete 16125 151
delete 7110 126
delete 19032 118
delete 12939 115
delete 18339 118
delete 3330 125
delete 16950 240
delete 21102 200
delete 16335 113
delete 7026 141
delete 9963 112
delete 28149 129
delete 27972 113
delete 14346 119
delete 5232 114
delete 1746 155
delete 27870 118
delete 15633 114
delete 23535 143
delete 5478 141
delete 17751 113
delete 23181 120
delete 3837 224
delete 14820 257
delete 4446 119
delete 10566 140
delete 24930 124
delete 26856 119
delete 4233 115
delete 20607 118
delete 25683 321
delete 25713 113
delete 16188 119
delete 12705 155
delete 12429 224
delete 11895 120
delete 22773 114
delete 29949 187
delete 18768 131
delete 14334 113
delete 15948 118
delete 5961 123
delete 23010 265
delete 27567 157
delete 8979 155
delete 19728 119
delete 9981 134
delete 29334 120
delete 14013 112
delete 27531 120
delete 3822 112
delete 2817 242
delete 5088 154
delete 29454 124
delete 27285 121
delete 2748 101
delete 1020 131
delete 16260 122
delete 25461 120
delete 16407 244
delete 14190 123
delete 10632 120
delete 2430 123
delete 14823 131
delete 18258 99
delete 2820 111
delete 14481 119
delete 19866 246
delete 1956 143
delete 25200 233
delete 12600 190
delete 21210 109
delete 16521 122
delete 468 112
delete 17217 155
delete 8559 109
delete 17343 112
delete 22833 131
delete 1359 111
delete 18201 155
delete 17466 123
delete 6684 120
delete 9087 155
delete 23979 111
delete 27762 146
delete 12546 250
delete 21426 266
delete 15237 228
delete 7833 171
delete 2880 120
delete 11712 110
delete 20910 99
delete 10182 122
delete 25401 111
delete 11373 100
delete 27045 109
delete 23967 89
delete 12975 134
delete 6774 87
delete 6825 166
delete 14622 131
delete 27855 110
delete 8397 111
delete 9750 99
delete 3090 99
delete 13548 111
delete 9534 132
delete 3510 121
delete 17937 121
delete 26379 123
delete 13065 110
delete 3873 121
delete 8055 199
delete 26166 99
delete 15351 132
delete 10740 89
delete 1344 121
delete 22602 111
delete 23838 99
delete 15405 189
delete 5298 111
delete 16197 123
delete 21801 207
delete 651 111
delete 17976 99
delete 3171 155
delete 22443 110
delete 8529 122
delete 7659 109
delete 7674 111
delete 3936 98
delete 12177 132
delete 28578 164
delete 28767 170
delete 5304 119
delete 11808 121
delete 23385 111
delete 1032 120
delete 29724 111
delete 13395 143
delete 21399 232
delete 3669 111
delete 2337 119
delete 16362 135
delete 18408 98
delete 21282 143
delete 14844 101
delete 4368 155
delete 9555 120
delete 21744 102
delete 17763 121
delete 23760 121
delete 16089 121
delete 23253 123
delete 12960 176
delete 13962 208
delete 333 112
delete 5073 119
delete 14586 112
delete 29409 120
delete 9372 112
delete 19113 120
delete 29340 135
delete 18498 155
delete 13689 175
delete 12012 123
delete 27633 164
delete 25092 113
delete 20973 131
delete 21618 112
delete 17970 166
delete 17574 130
delete 6522 211
delete 6573 110
delete 8244 123
delete 2487 120
delete 16923 123
delete 21240 120
delete 15417 143
delete 19911 124
delete 29556 119
delete 29826 124
delete 10125 119
delete 23208 112
delete 26373 130
delete 19407 156
delete 22200 174
delete 4230 103
delete 18909 318
delete 29457 200
delete 20352 125
delete 10599 119
delete 18345 112
delete 15021 166
delete 13824 163
delete 24867 247
delete 18738 130
delete 24555 112
delete 22275 120
delete 15726 131
delete 4962 177
delete 23172 113
delete 22605 118
delete 22560 137
delete 23634 251
delete 10242 191
delete 10458 465
delete 28686 221
delete 23529 208
delete 14493 157
delete 9732 145
delete 7308 178
delete 26505 218
delete 24852 113
delete 27144 118
delete 14790 115
delete 21870 154
delete 26967 118
delete 13644 114
delete 16287 155
delete 14550 377
delete 16974 229
delete 3957 136
delete 10524 128
delete 9825 210
delete 14967 147
delete 2628 129
delete 22674 114
delete 17142 118
delete 25446 125
delete 20715 117
delete 28782 114
delete 23709 155
delete 22110 215
delete 12480 127
delete 26046 118
delete 13698 114
delete 1845 117
delete 10185 114
delete 25377 129
delete 28044 155
delete 28377 113
delete 2619 218
delete 22080 113
delete 17538 162
delete 942 113
delete 2370 118
delete 8949 166
delete 15030 92
delete 18564 117
delete 21879 115
delete 1185 117
delete 10470 204
delete 10887 117
delete 7911 115
delete 16035 229
delete 18090 143
delete 954 116
delete 8325 179
delete 8790 126
delete 4839 127
delete 20373 116
delete 7722 116
delete 24099 177
delete 24114 127
delete 26178 116
delete 6246 128
delete 11637 128
delete 24120 204
delete 27375 117
delete 5058 104
delete 25164 165
delete 8451 116
delete 6096 138
delete 25065 116
delete 20922 148
delete 22908 138
delete 24165 227
delete 11586 154
delete 10890 129
delete 13299 125
delete 519 128
delete 24066 114
delete 18096 117
delete 19179 180
delete 23874 166
delete 29196 117
delete 3441 104
delete 4647 128
delete 26931 115
delete 1239 118
delete 27756 125
delete 21327 118
delete 24000 125
delete 2004 177
delete 1791 129
delete 13779 126
delete 16257 117
delete 19395 125
delete 18315 117
delete 7362 115
delete 20670 129
delete 23265 180
delete 12405 202
delete 9246 131
delete 22515 129
delete 6585 124
delete 16170 118
delete 11760 124
delete 15630 107
delete 28251 154
delete 15564 125
delete 2271 229
delete 20388 114
delete 1014 118
delete 29892 125
delete 1257 118
delete 13605 155
delete 4776 125
delete 20370 118
delete 10770 214
delete 9345 287
delete 6621 274
delete 8361 155
delete 20166 112
delete 26760 119
delete 7131 223
delete 17925 119
delete 3552 124
delete 21774 119
delete 10017 154
delete 23631 113
delete 17694 141
delete 9333 154
delete 9708 125
delete 6600 119
delete 25953 112
delete 27927 119
delete 7662 254
delete 525 113
delete 23292 132
delete 12924 119
delete 22113 134
delete 2091 131
delete 24468 112
delete 480 120
delete 8319 155
delete 29853 113
delete 10428 131
delete 10146 112
delete 1635 120
delete 23415 112
delete 22392 109
delete 23736 145
delete 29259 188
delete 141 120
delete 18387 111
delete 2013 130
delete 28197 222
delete 732 124
delete 1647 119
delete 15558 124
delete 27537 155
delete 6288 195
delete 1989 100
delete 24636 97
delete 6084 124
delete 4350 220
delete 18453 120
delete 26424 155
delete 17757 123
delete 20673 120
delete 3666 145
delete 5406 153
delete 17628 112
delete 3435 231
delete 20217 178
delete 11361 120
delete 21204 112
delete 22485 131
delete 23829 123
delete 5880 109
delete 29985 144
delete 14355 321
delete 29781 121
delete 27066 123
delete 3879 120
delete 27207 111
delete 10617 132
delete 10494 111
delete 25293 120
delete 6597 122
delete 3840 200
delete 23646 141
delete 2328 229
delete 17766 149
delete 15414 98
delete 17697 101
delete 4656 98
delete 14439 144
delete 4284 100
delete 24291 109
delete 23751 90
delete 14409 121
delete 25860 178
delete 24513 100
delete 27420 110
delete 8898 100
delete 1251 143
delete 17163 122
delete 26235 99
delete 8766 110
delete 25827 99
delete 24027 111
delete 594 98
delete 17988 111
delete 4902 310
delete 23763 133
delete 105 99
delete 9162 133
delete 2457 101
delete 24012 109
delete 17712 100
delete 24870 111
delete 3000 306
delete 9420 170
delete 4146 111
delete 18366 99
delete 3108 110
delete 26997 111
delete 11253 121
delete 23595 100
delete 9327 87
delete 7404 112
delete 9018 164
delete 21978 111
delete 23115 110
delete 2583 132
delete 3300 238
delete 21324 183
delete 18180 193
delete 26199 161
delete 6324 120
delete 22965 101
delete 951 121
delete 10815 123
delete 26304 121
delete 13971 189
delete 5565 132
delete 22815 154
delete 3423 111
delete 18207 120
delete 18870 122
delete 8409 132
delete 28551 110
delete 23406 143
delete 6093 144
delete 21342 155
delete 327 112
delete 18783 119
delete 10197 112
delete 15411 130
delete 22782 144
delete 8340 121
delete 13284 134
delete 9723 166
delete 25623 131
delete 3351 160
delete 15684 127
delete 11163 212
delete 17598 120
delete 15234 124
delete 28746 165
delete 14433 131
delete 24960 179
delete 21051 120
delete 3612 113
delete 4989 130
delete 29943 156
delete 15975 156
delete 26460 111
delete 15678 119
delete 13722 112
delete 4137 108
delete 27078 123
delete 8592 230
delete 1758 322
delete 20292 297
delete 822 156
delete 8301 211
delete 6726 154
delete 9123 244
delete 14601 202
delete 23994 272
delete 18423 186
delete 24669 188
delete 12387 177
delete 1893 102
delete 26244 177
delete 23442 288
delete 20823 318
delete 12300 236
delete 28230 163
delete 20988 143
delete 5202 245
delete 16101 212
delete 11454 277
delete 7050 278
delete 1389 244
delete 4725 310
delete 16824 183
delete 6660 222
delete 21663 114
delete 7782 205
