insert Node PortIn PortOut Time
insert 47994 47994_IN 47994_OUT 156
insert 43308 43308_IN 43308_OUT 160
insert 54918 54918_IN 54918_OUT 115
insert 41001 41001_IN 41001_OUT 264
insert 38001 38001_IN 38001_OUT 180
insert 49740 49740_IN 49740_OUT 116
insert 53832 53832_IN 53832_OUT 116
insert 40878 40878_IN 40878_OUT 132
insert 48483 48483_IN 48483_OUT 204
insert 59436 59436_IN 59436_OUT 128
insert 36702 36702_IN 36702_OUT 128
insert 54846 54846_IN 54846_OUT 272
insert 51282 51282_IN 51282_OUT 160
insert 38685 38685_IN 38685_OUT 116
insert 43995 43995_IN 43995_OUT 118
insert 38139 38139_IN 38139_OUT 115
insert 35190 35190_IN 35190_OUT 116
insert 50352 50352_IN 50352_OUT 164
insert 37032 37032_IN 37032_OUT 271
insert 31845 31845_IN 31845_OUT 216
insert 53085 53085_IN 53085_OUT 164
insert 40605 40605_IN 40605_OUT 168
insert 32436 32436_IN 32436_OUT 228
insert 55386 55386_IN 55386_OUT 133
insert 35469 35469_IN 35469_OUT 116
insert 36675 36675_IN 36675_OUT 116
insert 36213 36213_IN 36213_OUT 220
insert 45963 45963_IN 45963_OUT 116
insert 33288 33288_IN 33288_OUT 124
insert 36741 36741_IN 36741_OUT 164
insert 30468 30468_IN 30468_OUT 127
insert 32334 32334_IN 32334_OUT 116
insert 53277 53277_IN 53277_OUT 124
insert 37929 37929_IN 37929_OUT 112
insert 53136 53136_IN 53136_OUT 117
insert 45090 45090_IN 45090_OUT 124
insert 46737 46737_IN 46737_OUT 120
insert 46425 46425_IN 46425_OUT 184
insert 37146 37146_IN 37146_OUT 151
insert 45348 45348_IN 45348_OUT 212
insert 49020 49020_IN 49020_OUT 116
insert 47544 47544_IN 47544_OUT 117
insert 41214 41214_IN 41214_OUT 116
insert 55788 55788_IN 55788_OUT 116
insert 54267 54267_IN 54267_OUT 164
insert 33513 33513_IN 33513_OUT 124
insert 59385 59385_IN 59385_OUT 184
insert 36435 36435_IN 36435_OUT 128
insert 41139 41139_IN 41139_OUT 155
insert 47793 47793_IN 47793_OUT 116
insert 58518 58518_IN 58518_OUT 112
insert 55278 55278_IN 55278_OUT 136
insert 45687 45687_IN 45687_OUT 161
insert 43047 43047_IN 43047_OUT 116
insert 39486 39486_IN 39486_OUT 116
insert 51642 51642_IN 51642_OUT 116
insert 59616 59616_IN 59616_OUT 228
insert 36048 36048_IN 36048_OUT 140
insert 58398 58398_IN 58398_OUT 232
insert 34569 34569_IN 34569_OUT 116
insert 34953 34953_IN 34953_OUT 116
insert 33132 33132_IN 33132_OUT 116
insert 46152 46152_IN 46152_OUT 116
insert 41907 41907_IN 41907_OUT 119
insert 36642 36642_IN 36642_OUT 264
insert 34914 34914_IN 34914_OUT 156
insert 41805 41805_IN 41805_OUT 149
insert 54138 54138_IN 54138_OUT 133
insert 55782 55782_IN 55782_OUT 104
insert 38583 38583_IN 38583_OUT 127
insert 33846 33846_IN 33846_OUT 116
insert 38559 38559_IN 38559_OUT 116
insert 53010 53010_IN 53010_OUT 152
insert 55551 55551_IN 55551_OUT 128
insert 48666 48666_IN 48666_OUT 116
insert 46002 46002_IN 46002_OUT 116
insert 48717 48717_IN 48717_OUT 116
insert 41580 41580_IN 41580_OUT 140
insert 45777 45777_IN 45777_OUT 184
insert 34005 34005_IN 34005_OUT 176
insert 42054 42054_IN 42054_OUT 220
insert 37338 37338_IN 37338_OUT 116
insert 56682 56682_IN 56682_OUT 124
insert 57573 57573_IN 57573_OUT 172
insert 39963 39963_IN 39963_OUT 120
insert 51609 51609_IN 51609_OUT 116
insert 56442 56442_IN 56442_OUT 116
insert 32601 32601_IN 32601_OUT 180
insert 43179 43179_IN 43179_OUT 160
insert 55167 55167_IN 55167_OUT 164
insert 38979 38979_IN 38979_OUT 220
insert 32694 32694_IN 32694_OUT 164
insert 43524 43524_IN 43524_OUT 144
insert 37800 37800_IN 37800_OUT 124
insert 39225 39225_IN 39225_OUT 116
insert 31713 31713_IN 31713_OUT 116
insert 34173 34173_IN 34173_OUT 176
insert 33222 33222_IN 33222_OUT 168
insert 57513 57513_IN 57513_OUT 116
insert 51042 51042_IN 51042_OUT 116
insert 34446 34446_IN 34446_OUT 172
insert 44409 44409_IN 44409_OUT 140
insert 38283 38283_IN 38283_OUT 116
insert 31968 31968_IN 31968_OUT 116
insert 59493 59493_IN 59493_OUT 116
insert 57402 57402_IN 57402_OUT 116
insert 55893 55893_IN 55893_OUT 116
insert 44472 44472_IN 44472_OUT 128
insert 41955 41955_IN 41955_OUT 172
insert 40572 40572_IN 40572_OUT 116
insert 37956 37956_IN 37956_OUT 140
insert 52434 52434_IN 52434_OUT 120
insert 36033 36033_IN 36033_OUT 232
insert 33510 33510_IN 33510_OUT 116
insert 53805 53805_IN 53805_OUT 116
insert 54369 54369_IN 54369_OUT 157
insert 44907 44907_IN 44907_OUT 148
insert 31539 31539_IN 31539_OUT 152
insert 32826 32826_IN 32826_OUT 116
insert 43692 43692_IN 43692_OUT 139
insert 42093 42093_IN 42093_OUT 216
insert 59985 59985_IN 59985_OUT 160
insert 31014 31014_IN 31014_OUT 128
insert 55464 55464_IN 55464_OUT 116
insert 54351 54351_IN 54351_OUT 116
insert 41607 41607_IN 41607_OUT 116
insert 45549 45549_IN 45549_OUT 200
insert 35763 35763_IN 35763_OUT 148
insert 58233 58233_IN 58233_OUT 180
insert 51432 51432_IN 51432_OUT 133
insert 41247 41247_IN 41247_OUT 116
insert 54741 54741_IN 54741_OUT 116
insert 51606 51606_IN 51606_OUT 116
insert 52530 52530_IN 52530_OUT 115
insert 58200 58200_IN 58200_OUT 116
insert 53952 53952_IN 53952_OUT 136
insert 48987 48987_IN 48987_OUT 177
insert 39423 39423_IN 39423_OUT 230
insert 45612 45612_IN 45612_OUT 116
insert 42567 42567_IN 42567_OUT 116
insert 46488 46488_IN 46488_OUT 117
insert 44613 44613_IN 44613_OUT 116
insert 51612 51612_IN 51612_OUT 116
insert 49413 49413_IN 49413_OUT 180
insert 47478 47478_IN 47478_OUT 140
insert 53499 53499_IN 53499_OUT 160
insert 37710 37710_IN 37710_OUT 116
insert 35358 35358_IN 35358_OUT 144
insert 59223 59223_IN 59223_OUT 120
insert 35964 35964_IN 35964_OUT 116
insert 48789 48789_IN 48789_OUT 164
insert 42015 42015_IN 42015_OUT 157
insert 49542 49542_IN 49542_OUT 116
insert 54126 54126_IN 54126_OUT 144
insert 31302 31302_IN 31302_OUT 175
insert 40152 40152_IN 40152_OUT 160
insert 58842 58842_IN 58842_OUT 116
insert 53637 53637_IN 53637_OUT 164
insert 54594 54594_IN 54594_OUT 116
insert 57249 57249_IN 57249_OUT 116
insert 39009 39009_IN 39009_OUT 116
insert 37887 37887_IN 37887_OUT 116
insert 37023 37023_IN 37023_OUT 117
insert 55965 55965_IN 55965_OUT 116
insert 56148 56148_IN 56148_OUT 128
insert 34323 34323_IN 34323_OUT 168
insert 34284 34284_IN 34284_OUT 152
insert 57729 57729_IN 57729_OUT 108
